,metro,city,stnPlace,stnAddr,rapidCnt,slowCnt,carType
238,서울특별시,동대문구,답십리래미안위브1블럭,서울특별시 동대문구 답십리로 130,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
239,서울특별시,동대문구,답십리래미안위브2블럭,서울특별시 동대문구 답십리로 130,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
240,서울특별시,동대문구,동답 공영주차장,서울특별시 동대문구 답십리동 2-283,1,0,"SM3 Z.E,테슬라"
241,서울특별시,동대문구,동일스위트리버,서울특별시 동대문구 휘경동 366,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
242,서울특별시,동대문구,래미안엘파인 아파트,서울특별시 동대문구 답십리동 1000,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
243,서울특별시,동대문구,배봉공영주차장,서울특별시 동대문구 휘경동 286-66,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
244,서울특별시,동대문구,브라운스톤휘경,서울특별시 동대문구 휘경동 368,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
245,서울특별시,동대문구,이문쌍용아파트,서울특별시 동대문구 이문동 64,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
246,서울특별시,동대문구,장안힐스테이트 아파트,서울특별시 동대문구 장안동 329-2,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
247,서울특별시,동대문구,장영당길 공영주차장,서울특별시 동대문구 답십리동 484-45,2,0,"SM3 Z.E,테슬라"
248,서울특별시,동대문구,전농sk 아파트,서울특별시 동대문구 전농동 10,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
249,서울특별시,동대문구,청량리역사(한화역사),"서울특별시 동대문구 왕산로 214 (전농동, 청량리역,롯데백화점)",2,0,"SM3 Z.E,테슬라"
250,서울특별시,동대문구,청솔우성,서울특별시 동대문구 답십리동 80,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
251,서울특별시,동대문구,회기동 공영주차장,서울특별시 동대문구 회기동 1-1,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
252,서울특별시,동대문구,휘경베스트빌현대,서울특별시 동대문구 휘경동 52,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
253,서울특별시,동대문구,휘경주공1단지,서울특별시 동대문구 휘경동 57,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
254,서울특별시,동대문구,힐스테이트청계,서울특별시 동대문구 답십리동 465-18,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
255,서울특별시,동작구,관악동작지사,서울특별시 동작구 동작대로 19,1,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
256,서울특별시,동작구,대방성원 아파트,서울특별시 동작구 대방동 여의대방로44길 9,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
257,서울특별시,동작구,대방중간집하장 공영주차장,서울특별시 동작구 대방동 67-1,1,0,"SM3 Z.E,테슬라"
258,서울특별시,동작구,대우유로카운티,서울특별시 동작구 상도동 양녕로 287,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
259,서울특별시,동작구,동작상떼빌 아파트,서울특별시 동작구 신대방동 신대방1가길 38,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
260,서울특별시,동작구,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
261,서울특별시,동작구,보라매아카데미타워 아파트,서울특별시 동작구 신대방동 보라매로5가길 16,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
262,서울특별시,동작구,빙수골 장미주차장,서울특별시 동작구 상도동 301-132,1,0,"SM3 Z.E,테슬라"
263,서울특별시,동작구,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
264,서울특별시,동작구,상도대림 아파트,서울특별시 동작구 상도동 상도로60길 20,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
265,서울특별시,동작구,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
266,서울특별시,동작구,상도파크자이,서울특별시 동작구 상도동 장승배기로 11,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
267,서울특별시,동작구,서울시여성가족재단,서울특별시 동작구 대방동 345-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
268,서울특별시,동작구,숲속마을신동아파밀리에,서울특별시 동작구 신대방동 여의대방로10길 100,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
269,서울특별시,동작구,신대방현대 아파트,서울특별시 동작구 신대방동 여의대방로 28,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
270,서울특별시,동작구,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
271,서울특별시,동작구,흑석한강센트레빌,서울특별시 동작구 흑석동 흑석한강로 2,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
272,서울특별시,동작구,힐스테이트상도프레스티지,서울특별시 동작구 상도동 상도로 346-2,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
273,서울특별시,마포구,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
274,서울특별시,마포구,공덕아이파크아파트,"서울특별시 마포구 만리재로 36 (신공덕동, 공덕 아이파크)",0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
275,서울특별시,마포구,대명 아파트,서울특별시 마포구 연남동 동교로39길 11,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
276,서울특별시,마포구,래미안마포리버웰,서울특별시 마포구 용강동 토정로31길 23,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
277,서울특별시,마포구,래미안밤섬리베뉴1 아파트,서울특별시 마포구 상수동 독막로20나길 22,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
278,서울특별시,마포구,래미안밤섬리베뉴2,서울특별시 마포구 상수동 독막로20나길 21,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
279,서울특별시,마포구,롯데캐슬프레지던트,서울특별시 마포구 공덕동 마포대로 109,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
280,서울특별시,마포구,마포대림1차 아파트,서울특별시 마포구 용강동 마포대로1길 21,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
281,서울특별시,마포구,마포도화우성아파트,서울특별시 마포구 도화동 삼개로 38,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
282,서울특별시,마포구,마포래미안푸르지오 1단지,서울특별시 마포구 아현동 마포대로 195,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
283,서울특별시,마포구,마포래미안푸르지오 2단지,서울특별시 마포구 아현동 마포대로 195,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
284,서울특별시,마포구,마포래미안푸르지오 3단지,서울특별시 마포구 아현동 마포대로 195,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
285,서울특별시,마포구,마포래미안푸르지오 4단지,서울특별시 마포구 아현동 마포대로 195,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
286,서울특별시,마포구,마포용산지사,서울특별시 마포구 도화동 51-3,2,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
287,서울특별시,마포구,마포자이2차아파트,서울특별시 마포구 대흥동 804,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
288,서울특별시,마포구,마포중앙도서관,서울특별시 마포구 성산동 275-3,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
289,서울특별시,마포구,마포트라팰리스2차,서울특별시 마포구 아현동 738,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
290,서울특별시,마포구,마포한강2차 푸르지오아파트,서울특별시 마포구 합정동 473,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
